"","Company_Name","Dependent.Company.Status","Focus.functions.of.company","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Number.of.of.repeat.investors","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Product.or.service.company.","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Cloud.or.platform.based.serive.product.","Local.or.global.player","Crowdfunding.based.business","Machine.Learning.based.business"
"1","COMPANY1","SUCCESS","OPERATION",1,2,2,4,"NO","SMALL","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"2","COMPANY2","SUCCESS","MARKETING, SALES",2,0,4,0,"YES","LARGE","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","YES"
"3","COMPANY3","SUCCESS","OPERATIONS",3,0,7,0,"YES","MEDIUM","BOTH","PRIVATE","YES","CLOUD","LOCAL","NO","NO"
"4","COMPANY4","SUCCESS","MARKETING & SALES",2,0,4,0,"NO","LARGE","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"5","COMPANY5","SUCCESS","MARKETING & SALES",1,1,8,0,"NO","SMALL","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"6","COMPANY6","SUCCESS","ANALYTICS",4,0,4,2,"NO","MEDIUM","SERVICE","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"7","COMPANY7","SUCCESS","RESEARCH",2,9,2,4,"NO","SMALL","BOTH","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"8","COMPANY8","SUCCESS","COMPUTING",3,4,4,0,"NO","LARGE","BOTH","PRIVATE","NO","PLATFORM","LOCAL","NO","NO"
"9","COMPANY9","SUCCESS","MARKETING",2,0,2,0,"YES","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"10","COMPANY10","SUCCESS","RESEARCH",3,4,3,0,"YES","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"11","COMPANY11","SUCCESS","SALES, MARKETING",2,1,8,0,"NO","SMALL","BOTH","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
